player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
Cedrik Marcel Stebe,999.0,0.0,0.36,0.5,0.5,6.444444444444445,0.6088383838383838,0.3992768306493797,0.3154057607243882,135,,,,
Thanasi Kokkinakis,999.0,0.0,0.47244094488188976,0.5,0.25,11.75,0.7189255189255189,0.46522630147630145,0.31481782724056345,136,,,,
Mikhail Kukushkin,999.0,0.0,0.4444444444444444,0.3,0.5625,3.3421052631578947,0.6317048757189602,0.5249895474895475,0.31332083227153645,137,,,,
Richard Gasquet,999.0,0.0,0.5591836734693878,0.2,0.5,5.9489051094890515,0.6439258658008657,0.4731926409309406,0.3106518437039373,138,,,,
Rajeev Ram,999.0,0.0,0.39285714285714285,0.5,0.3333333333333333,7.2727272727272725,0.7615367965367965,0.4783910533910534,0.31021067821067827,139,,,,
Liam Broady,999.0,0.0,0.4583333333333333,0.3,0.5,4.090909090909091,0.6366666666666666,0.5601289827225656,0.3094231158027949,140,,,,
Laslo Djere,999.0,0.0,0.3893805309734513,0.5,0.36363636363636365,8.590909090909092,0.6759398720937182,0.47125834281582946,0.3092504980342948,141,,,,
Egor Gerasimov,999.0,0.0,0.532608695652174,0.3,0.4,9.83673469387755,0.7012224517906337,0.4191239377796609,0.3091694933915582,142,,,,
Mischa Zverev,999.0,0.0,0.4117647058823529,0.3,0.5714285714285714,6.595238095238095,0.6914590784172827,0.5138604392806073,0.30892143806976846,143,,,,
Tatsuma Ito,999.0,0.0,0.3076923076923077,0.5,0.5,3.625,0.5970238095238095,0.5418574846206425,0.3088671416302995,144,,,,
Darian King,999.0,0.0,0.5757575757575758,0.5,0.0,4.157894736842105,0.7313572303921568,0.5597233214615486,0.3084934215320792,145,,,,
Aslan Karatsev,999.0,0.0,0.4953271028037383,0.2,0.5714285714285714,6.3584905660377355,0.6795353639291215,0.473613471487179,0.3072035031860353,146,,,,
Yoshihito Nishioka,999.0,0.0,0.5,0.5,0.18181818181818182,2.1981981981981984,0.5938554165694526,0.4891474648053596,0.30642287134146784,148,,,,
Zhizhen Zhang,999.0,0.0,0.4375,0.4,0.4,7.928571428571429,0.6521428571428571,0.4810653447982064,0.30603541009705315,149,,,,
Guido Pella,999.0,0.0,0.42727272727272725,0.4,0.38461538461538464,6.595744680851064,0.702243383094447,0.49569455714637195,0.3044073865225305,151,,,,
Ernests Gulbis,999.0,0.0,0.36923076923076925,0.5,0.3333333333333333,11.458333333333334,0.765740298348994,0.4593419312169312,0.30356180378598857,152,,,,
Jerzy Janowicz,999.0,0.0,0.5,0.6,0.0,9.571428571428571,0.6682954545454545,0.49533163692827553,0.3031813545736865,153,,,,
Viktor Troicki,999.0,0.0,0.5,0.2,0.5555555555555556,10.91891891891892,0.6279150849150849,0.46266470347352695,0.3028623227527639,154,,,,
Horacio Zeballos,999.0,0.0,0.4375,0.4,0.3333333333333333,7.142857142857143,0.7021825396825396,0.5476473922902494,0.30186649659863946,155,,,,
Donald Young,999.0,0.0,0.48695652173913045,0.2,0.5555555555555556,4.892857142857143,0.6036252408338979,0.5084186132797244,0.30067465647379704,156,,,,
Paolo Lorenzi,999.0,0.0,0.3902439024390244,0.3,0.5714285714285714,6.96875,0.6928344504957409,0.45497497294372297,0.300665732496015,157,,,,
Roberto Carballes Baena,999.0,0.0,0.3717948717948718,0.4,0.46153846153846156,3.689655172413793,0.6701052834927074,0.4905717442468803,0.3002133385664666,158,,,,
Ryan Harrison,999.0,0.0,0.5098039215686274,0.3,0.3333333333333333,8.346153846153847,0.7178451208878841,0.5235003945143264,0.2995182561622674,160,,,,
Andrey Kuznetsov,999.0,0.0,0.5074626865671642,0.2,0.5,7.176470588235294,0.6790246212121211,0.4586462677076864,0.29874921608778143,161,,,,
J J Wolf,999.0,0.0,0.4605263157894737,0.2,0.5714285714285714,8.885714285714286,0.6638254218899381,0.4859461632769903,0.2983344439200006,162,,,,
Ze Zhang,999.0,0.0,0.25,0.5,0.5,5.8,0.6222222222222222,0.5714285714285714,0.29718253968253966,163,,,,
Marcel Granollers,999.0,0.0,0.35294117647058826,0.5,0.3333333333333333,7.25,0.7016336837765409,0.46009013234413687,0.29632148492368093,164,,,,
Mitchell Krueger,999.0,0.0,0.32,0.5,0.4,5.125,0.6185374149659865,0.4591675685425685,0.29388524917542774,165,,,,
Joao Sousa,999.0,0.0,0.43915343915343913,0.3,0.46153846153846156,5.253012048192771,0.6259275927183597,0.4499429452263025,0.29281265591636213,166,,,,
