player,hard_wins,hard_losses,hard_total,hard_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,avg_1st_pct,recent_form_pct,uso_wins,uso_win_pct,atp_rank,atp_points,rank_score,uso_score,power_rank
Frances Tiafoe,152.0,133.0,285.0,0.5333333333333333,8.381578947368421,2.263157894736842,0.4576606972000427,0.6997290506322962,0.6139581271855202,0.4,22.0,0.6875,26.0,1705.0,0.8031496062992126,0.615272702614714,23
Matteo Berrettini,84.0,67.0,151.0,0.5562913907284768,11.857142857142858,1.8571428571428572,0.46718951760968563,0.6925304905697063,0.6401986507389436,0.6,18.0,0.72,48.0,985.0,0.6299212598425197,0.6140352260438448,24
Tomas Machac,36.0,29.0,65.0,0.5538461538461539,5.916666666666667,2.2777777777777777,0.527669183480587,0.7317577030812324,0.6222534762448757,0.6,3.0,0.6,43.0,1120.0,0.6692913385826771,0.6122202843644327,25
Ugo Humbert,104.0,78.0,182.0,0.5714285714285714,7.5673076923076925,1.8461538461538463,0.4455125395594853,0.7080117949683167,0.6361760682735684,0.7,3.0,0.3,33.0,1370.0,0.7480314960629921,0.6099428084024306,26
Marin Cilic,178.0,119.0,297.0,0.5993265993265994,11.724719101123595,3.044943820224719,0.457382552725545,0.66924633151485,0.5880658104902783,0.5,21.0,0.7241379310344828,47.0,994.0,0.6377952755905512,0.6061223663760074,27
Lorenzo Musetti,57.0,65.0,122.0,0.4672131147540984,5.105263157894737,2.175438596491228,0.45243161860197867,0.6172209734709735,0.6400700455274603,0.4,5.0,0.5555555555555556,16.0,2315.0,0.8818897637795275,0.5981861707593638,28
Francisco Cerundolo,35.0,40.0,75.0,0.4666666666666667,4.571428571428571,3.4571428571428573,0.5510280195994481,0.6859570984570984,0.6275449990330587,0.6,2.0,0.4,27.0,1660.0,0.7952755905511811,0.5970985997348484,29
Matteo Arnaldi,29.0,26.0,55.0,0.5272727272727272,7.448275862068965,2.896551724137931,0.4765907464183326,0.631792513042513,0.5813477518530812,0.4,5.0,0.7142857142857143,34.0,1336.0,0.7401574803149606,0.5964274460285695,30
Arthur Rinderknech,48.0,49.0,97.0,0.4948453608247423,10.770833333333334,1.3958333333333333,0.4542018319156477,0.6878045404208195,0.6640896647715283,0.4,5.0,0.5555555555555556,24.0,1776.0,0.8188976377952756,0.589814283494925,31
Alejandro Davidovich Fokina,67.0,70.0,137.0,0.48905109489051096,4.447761194029851,2.044776119402985,0.540786152682553,0.6593110966094836,0.6519274112504353,0.3,8.0,0.6153846153846154,22.0,1860.0,0.8346456692913385,0.5849690292823234,32
Brandon Nakashima,71.0,56.0,127.0,0.5590551181102362,8.971830985915492,1.267605633802817,0.49849055706198564,0.693195549661067,0.6494529403563533,0.3,7.0,0.5833333333333334,32.0,1385.0,0.7559055118110236,0.5736197384070187,33
Zizou Bergs,16.0,24.0,40.0,0.4,7.875,2.0625,0.4800685425685426,0.6933673469387756,0.6445887455518554,0.6,1.0,0.5,40.0,1150.0,0.6929133858267716,0.5615458102233974,34
Sebastian Korda,87.0,52.0,139.0,0.6258992805755396,8.03448275862069,1.8620689655172413,0.508663721899016,0.6947027963063096,0.6352159121311346,0.7,2.0,0.2857142857142857,60.0,900.0,0.5354330708661417,0.5601302101711365,35
Alexander Bublik,98.0,99.0,197.0,0.49746192893401014,13.857142857142858,6.459183673469388,0.4955435437578295,0.6817970917970918,0.6024054551267364,0.2,4.0,0.4,11.0,2930.0,0.9212598425196851,0.5596104667671541,36
